ssop-28_FT232RL;FT232RL;1720010P1;USB TTL chip
MINI-USB-5P-3400020P1_MINI-USB-5P-3400020P1;usb socket;3400020P1;mini USB socket
so-14_LMV324IDR;LMV324IDR;1100030P1;quad op-amp

