### this file was generated by rusEfi bom_builder on Sat Mar 08 12:33:10 CST 2014
### 292 components in 2047 lines of frankenstein.cmp
### 65 kinds of components in input file
### 14 entries in BOM dictionary bom_dictionary_digikey.csv
### 33 entries in ignore list
### no BOM record for SM0805_.1uF: [C471, C355, C356, C357]
### no BOM record for SM0805_0.01uF: [C210, C220, C230, C240, C250, C260, C270, C280, C290, C300, C310, C320]
### no BOM record for SM0805_100: [R601, R604, R605, R608, R609, R612, R200, R213, R223, R233, R243, R253, R263, R273, R283, R293, R303, R313, R323]
### no BOM record for SM0805_1000pF: [C101, C102, C108]
### no BOM record for SM0805_10uF: [C103]
### no BOM record for SM0805_120: [R473]
### no BOM record for SM0805_1M: [R351]
### no BOM record for SM0805_1uF: [C105]
### no BOM record for SM0805_20K: [R117, R118]
### no BOM record for SM0805_4.7uF: [C472, C354, C358]
### no BOM record for SM0805_4700pF: [C351]
### no BOM record for SM0805_47pF: [C352, C353]
### no BOM record for SM0805_5k: [R102, R103, R104, R106, R107, R108, R109, R110, R111, R112]
### no BOM record for SOD-123_DIODE: [D13]
### no BOM record for sot23_DOUBLE_SCHOTTKY: [D210, D220, D230, D240, D250, D260, D270, D280, D290, D300, D310, D320]




1,P2.7KECT-ND,R210: pull-up for CLT
1,P2.7KECT-ND,R220: pull-up for CLT
1,P2.7KECT-ND,R230: pull-up for CLT
1,P2.7KECT-ND,R240: pull-up for CLT
1,P2.7KECT-ND,R250: pull-up for CLT
1,P2.7KECT-ND,R260: pull-up for CLT
1,P2.7KECT-ND,R270: pull-up for CLT
1,P2.7KECT-ND,R280: pull-up for CLT
1,P2.7KECT-ND,R290: pull-up for CLT
1,P2.7KECT-ND,R300: pull-up for CLT
1,P2.7KECT-ND,R310: pull-up for CLT
1,P2.7KECT-ND,R320: pull-up for CLT
1,P499KFCT-ND,R211: pull-down
1,P499KFCT-ND,R221: pull-down
1,P499KFCT-ND,R231: pull-down
1,P499KFCT-ND,R241: pull-down
1,P499KFCT-ND,R251: pull-down
1,P499KFCT-ND,R261: pull-down
1,P499KFCT-ND,R271: pull-down
1,P499KFCT-ND,R281: pull-down
1,P499KFCT-ND,R291: pull-down
1,P499KFCT-ND,R301: pull-down
1,P499KFCT-ND,R311: pull-down
1,P499KFCT-ND,R321: pull-down
1,296-11654-1-ND,U471: CAN driver
1,497-11082-1-ND,Q1: 12A low-side MOSFET
1,497-11082-1-ND,Q2: 12A low-side MOSFET
1,497-11082-1-ND,Q3: 12A low-side MOSFET
1,497-11082-1-ND,Q4: 12A low-side MOSFET
1,497-11082-1-ND,Q5: 12A low-side MOSFET
1,497-11082-1-ND,Q6: 12A low-side MOSFET
1,497-11082-1-ND,Q7: 12A low-side MOSFET
1,497-11082-1-ND,Q8: 12A low-side MOSFET
1,497-11082-1-ND,Q9: 12A low-side MOSFET
1,497-11082-1-ND,Q10: 12A low-side MOSFET
1,497-11082-1-ND,Q11: 12A low-side MOSFET
1,497-11082-1-ND,Q12: 12A low-side MOSFET
1,MAX9926UAEE+TCT-ND,U101: VR chip
1,TC4427AVOA-ND,U601: 1.5A dual driver
1,TC4427AVOA-ND,U602: 1.5A dual driver
1,TC4427AVOA-ND,U603: 1.5A dual driver
1,497-4943-1-ND,U201: quad op-amp
1,497-4943-1-ND,U202: quad op-amp
1,497-4943-1-ND,U203: quad op-amp
1,768-1007-1-ND,U351: USB TTL chip
